Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
PrestWick,DrugFragCoreSet,156,Prestw-Frag-1125,C10H13NO2,179.22061,NCC(CC(=O)O)c1ccccc1,100,DMSO,PwDF-CoreS-01,N15
PrestWick,DrugFragCoreSet,163,Prestw-Frag-1154,C5H7N3O,125.13104,COc1cc(N)ncn1,100,DMSO,PwDF-CoreS-01,I16
PrestWick,DrugFragCoreSet,164,Prestw-Frag-1156,C10H12O,148.20654,Oc1cccc2CCCCc12,100,DMSO,PwDF-CoreS-01,J16
PrestWick,DrugFragCoreSet,167,Prestw-Frag-1163,C13H18N2,202.30181,C(\C=C\c1ccccc1)N2CCNCC2,100,DMSO,PwDF-CoreS-01,M16
PrestWick,DrugFragCoreSet,169,Prestw-Frag-1182,C11H10Cl2N2O,257.12115,OC(Cn1ccnc1)c2ccc(Cl)cc2Cl,100,DMSO,PwDF-CoreS-01,C17
PrestWick,DrugFragCoreSet,173,Prestw-Frag-1188,C4H5N3O2,127.10335,Cc1ncc([nH]1)[N+](=O)[O-],100,DMSO,PwDF-CoreS-01,G17
PrestWick,DrugFragCoreSet,175,Prestw-Frag-1191,C12H10N2O2,214.2257,OC(=O)c1cccnc1Nc2ccccc2,100,DMSO,PwDF-CoreS-01,I17
PrestWick,DrugFragCoreSet,176,Prestw-Frag-1204,C9H15N5,193.2534,CN1CCN(CC1)c2nccc(N)n2,100,DMSO,PwDF-CoreS-01,J17
PrestWick,DrugFragCoreSet,178,Prestw-Frag-3759,C9H8N2,144.17751,"c1ccc(cc1)n2cccn2
",100,DMSO,PwDF-CoreS-01,L17
PrestWick,DrugFragCoreSet,179,Prestw-Frag-1236,C11H12O2,176.21709,COc1cccc2C(=O)CCCc12,100,DMSO,PwDF-CoreS-01,M17
PrestWick,DrugFragCoreSet,180,Prestw-Frag-1237,C12H8F2O,206.19376,Oc1ccc(cc1)c2ccc(F)cc2F,100,DMSO,PwDF-CoreS-01,N17
PrestWick,DrugFragCoreSet,182,Prestw-Frag-1240,C13H10O3,214.22285,OC(=O)c1cc(ccc1O)c2ccccc2,100,DMSO,PwDF-CoreS-01,D18
PrestWick,DrugFragCoreSet,183,Prestw-Frag-1264,C14H18N2,214.31296,CC(C)C1NCCc2c1[nH]c3ccccc23,100,DMSO,PwDF-CoreS-01,E18
PrestWick,DrugFragCoreSet,187,Prestw-Frag-1299,C12H15NO,189.25945,CCc1cccc2c(CCO)c[nH]c12,100,DMSO,PwDF-CoreS-01,I18
PrestWick,DrugFragCoreSet,189,Prestw-Frag-1313,C12H15NO3,221.25825,COc1ccc(cc1N2CCCC2)C(=O)O,100,DMSO,PwDF-CoreS-01,K18
PrestWick,DrugFragCoreSet,191,Prestw-Frag-1322,C7H6F3N,161.12777,Nc1cccc(c1)C(F)(F)F,100,DMSO,PwDF-CoreS-01,M18
PrestWick,DrugFragCoreSet,193,Prestw-Frag-1337,C9H12O3,168.19419,OCC(O)COc1ccccc1,100,DMSO,PwDF-CoreS-01,C19
PrestWick,DrugFragCoreSet,201,Prestw-Frag-1394,C7H6F3NO2S,225.19057,NS(=O)(=O)c1ccccc1C(F)(F)F,100,DMSO,PwDF-CoreS-01,K19
PrestWick,DrugFragCoreSet,202,Prestw-Frag-1397,C12H16N2O2,220.27352,C(N1CCNCC1)c2ccc3OCOc3c2,100,DMSO,PwDF-CoreS-01,L19
PrestWick,DrugFragCoreSet,208,Prestw-Frag-1444,C16H17N,223.32059,C(C1NCCc2ccccc12)c3ccccc3,100,DMSO,PwDF-CoreS-01,F20
PrestWick,DrugFragCoreSet,209,Prestw-Frag-1462,C11H18N2O,194.27891,CCN(CC)Cc1cc(N)ccc1O,100,DMSO,PwDF-CoreS-01,G20
PrestWick,DrugFragCoreSet,210,Prestw-Frag-1475,C12H12N2,184.24284,C(Nc1ccccn1)c2ccccc2,100,DMSO,PwDF-CoreS-01,H20
PrestWick,DrugFragCoreSet,214,Prestw-Frag-1495,C5H4N2O2,124.09983,OC(=O)c1cnccn1,100,DMSO,PwDF-CoreS-01,L20
PrestWick,DrugFragCoreSet,215,Prestw-Frag-1499,C12H13NO5,251.24111,OC(=O)CC[C@H](NC(=O)c1ccccc1)C(=O)O,100,DMSO,PwDF-CoreS-01,M20
PrestWick,DrugFragCoreSet,218,Prestw-Frag-1543,C6H5ClN2O2,172.57195,Nc1ccc(cc1Cl)[N+](=O)[O-],100,DMSO,PwDF-CoreS-01,D21
PrestWick,DrugFragCoreSet,220,Prestw-Frag-1552,C16H18N2,238.33526,CN1CC(c2ccccc2)c3cccc(N)c3C1,100,DMSO,PwDF-CoreS-01,F21
PrestWick,DrugFragCoreSet,224,Prestw-Frag-1575,C16H24N2,244.38308,Cc1cc(cc(C)c1CC2=NCCN2)C(C)(C)C,100,DMSO,PwDF-CoreS-01,J21
PrestWick,DrugFragCoreSet,225,Prestw-Frag-1587,C12H15N3O,217.27285,O=C1Nc2ccccc2N1C3CCNCC3,100,DMSO,PwDF-CoreS-01,K21
PrestWick,DrugFragCoreSet,231,Prestw-Frag-1661,C10H8N2O3,204.18686,NC(=O)CN1C(=O)c2ccccc2C1=O,100,DMSO,PwDF-CoreS-01,E22
PrestWick,DrugFragCoreSet,232,Prestw-Frag-1667,C8H10N2O3S,214.2445,Cc1ccc(cc1)S(=O)(=O)NC(=O)N,100,DMSO,PwDF-CoreS-01,F22
PrestWick,DrugFragCoreSet,234,Prestw-Frag-1686,C9H10O3,166.17825,OCC(C(=O)O)c1ccccc1,100,DMSO,PwDF-CoreS-01,H22
PrestWick,DrugFragCoreSet,237,Prestw-Frag-1739,C15H12O3,240.26109,Oc1ccc2C(=O)CC(Oc2c1)c3ccccc3,100,DMSO,PwDF-CoreS-01,K22
PrestWick,DrugFragCoreSet,238,Prestw-Frag-1740,C9H8O2,148.16291,O=C1CCOc2ccccc12,100,DMSO,PwDF-CoreS-01,L22
PrestWick,DrugFragCoreSet,239,Prestw-Frag-1741,C17H19ClN2,286.80738,Clc1ccc(cc1)C(N2CCNCC2)c3ccccc3,100,DMSO,PwDF-CoreS-01,M22
PrestWick,DrugFragCoreSet,240,Prestw-Frag-1767,C16H16O2,240.30472,OC(=O)CCCc1ccc(cc1)c2ccccc2,100,DMSO,PwDF-CoreS-01,N22
PrestWick,DrugFragCoreSet,241,Prestw-Frag-1768,C10H10O3,178.1894,OC(=O)CCC(=O)c1ccccc1,100,DMSO,PwDF-CoreS-02,C03
PrestWick,DrugFragCoreSet,242,Prestw-Frag-1772,C16H19N,225.33653,CNCCC(c1ccccc1)c2ccccc2,100,DMSO,PwDF-CoreS-02,D03
PrestWick,DrugFragCoreSet,243,Prestw-Frag-1775,C8H8ClNO2,185.61146,COc1ccc(Cl)cc1C(=O)N,100,DMSO,PwDF-CoreS-02,E03
